,time,type,y
0,2022/05/18,L2_CENTRAL_AND_WESTERN_in,1294.0
1,2022/05/19,L2_CENTRAL_AND_WESTERN_in,1224.0
2,2022/05/20,L2_CENTRAL_AND_WESTERN_in,824.0
3,2022/05/21,L2_CENTRAL_AND_WESTERN_in,168.0
4,2022/05/22,L2_CENTRAL_AND_WESTERN_in,1419.0
5,2022/05/23,L2_CENTRAL_AND_WESTERN_in,1175.0
6,2022/05/24,L2_CENTRAL_AND_WESTERN_in,1780.0
7,2022/05/25,L2_CENTRAL_AND_WESTERN_in,1347.0
8,2022/05/26,L2_CENTRAL_AND_WESTERN_in,1231.0
9,2022/05/27,L2_CENTRAL_AND_WESTERN_in,278.0
10,2022/05/28,L2_CENTRAL_AND_WESTERN_in,185.0
11,2022/05/29,L2_CENTRAL_AND_WESTERN_in,2000.0
12,2022/05/30,L2_CENTRAL_AND_WESTERN_in,1102.0
13,2022/05/31,L2_CENTRAL_AND_WESTERN_in,1607.0
14,2022/05/18,L2_CENTRAL_AND_WESTERN_out,49.0
15,2022/05/19,L2_CENTRAL_AND_WESTERN_out,79.0
16,2022/05/20,L2_CENTRAL_AND_WESTERN_out,1291.0
17,2022/05/21,L2_CENTRAL_AND_WESTERN_out,41.0
18,2022/05/22,L2_CENTRAL_AND_WESTERN_out,1217.0
19,2022/05/23,L2_CENTRAL_AND_WESTERN_out,78.0
20,2022/05/24,L2_CENTRAL_AND_WESTERN_out,1302.0
21,2022/05/25,L2_CENTRAL_AND_WESTERN_out,59.0
22,2022/05/26,L2_CENTRAL_AND_WESTERN_out,58.0
23,2022/05/27,L2_CENTRAL_AND_WESTERN_out,57.0
24,2022/05/28,L2_CENTRAL_AND_WESTERN_out,37.0
25,2022/05/29,L2_CENTRAL_AND_WESTERN_out,2712.0
26,2022/05/30,L2_CENTRAL_AND_WESTERN_out,87.0
27,2022/05/31,L2_CENTRAL_AND_WESTERN_out,1088.0
28,2022/05/18,L2_EASTERN_in,476.0
29,2022/05/19,L2_EASTERN_in,453.0
30,2022/05/20,L2_EASTERN_in,1008.0
31,2022/05/21,L2_EASTERN_in,195.0
32,2022/05/22,L2_EASTERN_in,1084.0
33,2022/05/23,L2_EASTERN_in,406.0
34,2022/05/24,L2_EASTERN_in,1220.0
35,2022/05/25,L2_EASTERN_in,597.0
36,2022/05/26,L2_EASTERN_in,537.0
37,2022/05/27,L2_EASTERN_in,303.0
38,2022/05/28,L2_EASTERN_in,214.0
39,2022/05/29,L2_EASTERN_in,1746.0
40,2022/05/30,L2_EASTERN_in,398.0
41,2022/05/31,L2_EASTERN_in,1014.0
42,2022/05/18,L2_EASTERN_out,79.0
43,2022/05/19,L2_EASTERN_out,110.0
44,2022/05/20,L2_EASTERN_out,69.0
45,2022/05/21,L2_EASTERN_out,62.0
46,2022/05/22,L2_EASTERN_out,44.0
47,2022/05/23,L2_EASTERN_out,89.0
48,2022/05/24,L2_EASTERN_out,118.0
49,2022/05/25,L2_EASTERN_out,122.0
50,2022/05/26,L2_EASTERN_out,60.0
51,2022/05/27,L2_EASTERN_out,66.0
52,2022/05/28,L2_EASTERN_out,58.0
53,2022/05/29,L2_EASTERN_out,61.0
54,2022/05/30,L2_EASTERN_out,113.0
55,2022/05/31,L2_EASTERN_out,61.0
56,2022/05/18,L2_ISLANDS_in,117.0
57,2022/05/19,L2_ISLANDS_in,114.0
58,2022/05/20,L2_ISLANDS_in,57.0
59,2022/05/21,L2_ISLANDS_in,54.0
60,2022/05/22,L2_ISLANDS_in,55.0
61,2022/05/23,L2_ISLANDS_in,81.0
62,2022/05/24,L2_ISLANDS_in,151.0
63,2022/05/25,L2_ISLANDS_in,135.0
64,2022/05/26,L2_ISLANDS_in,187.0
65,2022/05/27,L2_ISLANDS_in,54.0
66,2022/05/28,L2_ISLANDS_in,78.0
67,2022/05/29,L2_ISLANDS_in,56.0
68,2022/05/30,L2_ISLANDS_in,109.0
69,2022/05/31,L2_ISLANDS_in,157.0
70,2022/05/18,L2_ISLANDS_out,7.0
71,2022/05/19,L2_ISLANDS_out,11.0
72,2022/05/20,L2_ISLANDS_out,4.0
73,2022/05/21,L2_ISLANDS_out,8.0
74,2022/05/22,L2_ISLANDS_out,11.0
75,2022/05/23,L2_ISLANDS_out,6.0
76,2022/05/24,L2_ISLANDS_out,13.0
77,2022/05/25,L2_ISLANDS_out,12.0
78,2022/05/26,L2_ISLANDS_out,8.0
79,2022/05/27,L2_ISLANDS_out,6.0
80,2022/05/28,L2_ISLANDS_out,12.0
81,2022/05/29,L2_ISLANDS_out,17.0
82,2022/05/30,L2_ISLANDS_out,11.0
83,2022/05/31,L2_ISLANDS_out,7.0
84,2022/05/18,L2_KOWLOON_CITY_in,161.0
85,2022/05/19,L2_KOWLOON_CITY_in,176.0
86,2022/05/20,L2_KOWLOON_CITY_in,186.0
87,2022/05/21,L2_KOWLOON_CITY_in,149.0
88,2022/05/22,L2_KOWLOON_CITY_in,160.0
89,2022/05/23,L2_KOWLOON_CITY_in,172.0
90,2022/05/24,L2_KOWLOON_CITY_in,153.0
91,2022/05/25,L2_KOWLOON_CITY_in,200.0
92,2022/05/26,L2_KOWLOON_CITY_in,215.0
93,2022/05/27,L2_KOWLOON_CITY_in,166.0
94,2022/05/28,L2_KOWLOON_CITY_in,147.0
95,2022/05/29,L2_KOWLOON_CITY_in,161.0
96,2022/05/30,L2_KOWLOON_CITY_in,143.0
97,2022/05/31,L2_KOWLOON_CITY_in,180.0
98,2022/05/18,L2_KOWLOON_CITY_out,289.0
99,2022/05/19,L2_KOWLOON_CITY_out,337.0
100,2022/05/20,L2_KOWLOON_CITY_out,355.0
101,2022/05/21,L2_KOWLOON_CITY_out,310.0
102,2022/05/22,L2_KOWLOON_CITY_out,558.0
103,2022/05/23,L2_KOWLOON_CITY_out,330.0
104,2022/05/24,L2_KOWLOON_CITY_out,384.0
105,2022/05/25,L2_KOWLOON_CITY_out,289.0
106,2022/05/26,L2_KOWLOON_CITY_out,345.0
107,2022/05/27,L2_KOWLOON_CITY_out,316.0
108,2022/05/28,L2_KOWLOON_CITY_out,311.0
109,2022/05/29,L2_KOWLOON_CITY_out,568.0
110,2022/05/30,L2_KOWLOON_CITY_out,361.0
111,2022/05/31,L2_KOWLOON_CITY_out,273.0
112,2022/05/18,L2_KWAI_TSING_in,228.0
113,2022/05/19,L2_KWAI_TSING_in,757.0
114,2022/05/20,L2_KWAI_TSING_in,222.0
115,2022/05/21,L2_KWAI_TSING_in,131.0
116,2022/05/22,L2_KWAI_TSING_in,36.0
117,2022/05/23,L2_KWAI_TSING_in,168.0
118,2022/05/24,L2_KWAI_TSING_in,242.0
119,2022/05/25,L2_KWAI_TSING_in,264.0
120,2022/05/26,L2_KWAI_TSING_in,265.0
121,2022/05/27,L2_KWAI_TSING_in,186.0
122,2022/05/28,L2_KWAI_TSING_in,148.0
123,2022/05/29,L2_KWAI_TSING_in,34.0
124,2022/05/30,L2_KWAI_TSING_in,1069.0
125,2022/05/31,L2_KWAI_TSING_in,764.0
126,2022/05/18,L2_KWAI_TSING_out,6288.0
127,2022/05/19,L2_KWAI_TSING_out,313.0
128,2022/05/20,L2_KWAI_TSING_out,448.0
129,2022/05/21,L2_KWAI_TSING_out,125.0
130,2022/05/22,L2_KWAI_TSING_out,236.0
131,2022/05/23,L2_KWAI_TSING_out,370.0
132,2022/05/24,L2_KWAI_TSING_out,525.0
133,2022/05/25,L2_KWAI_TSING_out,424.0
134,2022/05/26,L2_KWAI_TSING_out,372.0
135,2022/05/27,L2_KWAI_TSING_out,257.0
136,2022/05/28,L2_KWAI_TSING_out,2165.0
137,2022/05/29,L2_KWAI_TSING_out,11048.0
138,2022/05/30,L2_KWAI_TSING_out,275.0
139,2022/05/31,L2_KWAI_TSING_out,38.0
140,2022/05/18,L2_KWUN_TONG_in,363.0
141,2022/05/19,L2_KWUN_TONG_in,1295.0
142,2022/05/20,L2_KWUN_TONG_in,227.0
143,2022/05/21,L2_KWUN_TONG_in,199.0
144,2022/05/22,L2_KWUN_TONG_in,55.0
145,2022/05/23,L2_KWUN_TONG_in,244.0
146,2022/05/24,L2_KWUN_TONG_in,284.0
147,2022/05/25,L2_KWUN_TONG_in,429.0
148,2022/05/26,L2_KWUN_TONG_in,324.0
149,2022/05/27,L2_KWUN_TONG_in,269.0
150,2022/05/28,L2_KWUN_TONG_in,211.0
151,2022/05/29,L2_KWUN_TONG_in,78.0
152,2022/05/30,L2_KWUN_TONG_in,1629.0
153,2022/05/31,L2_KWUN_TONG_in,1235.0
154,2022/05/18,L2_KWUN_TONG_out,196.0
155,2022/05/19,L2_KWUN_TONG_out,250.0
156,2022/05/20,L2_KWUN_TONG_out,170.0
157,2022/05/21,L2_KWUN_TONG_out,123.0
158,2022/05/22,L2_KWUN_TONG_out,107.0
159,2022/05/23,L2_KWUN_TONG_out,153.0
160,2022/05/24,L2_KWUN_TONG_out,211.0
161,2022/05/25,L2_KWUN_TONG_out,268.0
162,2022/05/26,L2_KWUN_TONG_out,221.0
163,2022/05/27,L2_KWUN_TONG_out,155.0
164,2022/05/28,L2_KWUN_TONG_out,153.0
165,2022/05/29,L2_KWUN_TONG_out,97.0
166,2022/05/30,L2_KWUN_TONG_out,158.0
167,2022/05/31,L2_KWUN_TONG_out,50.0
168,2022/05/18,L2_NORTH_in,110.0
169,2022/05/19,L2_NORTH_in,470.0
170,2022/05/20,L2_NORTH_in,88.0
171,2022/05/21,L2_NORTH_in,68.0
172,2022/05/22,L2_NORTH_in,10.0
173,2022/05/23,L2_NORTH_in,83.0
174,2022/05/24,L2_NORTH_in,103.0
175,2022/05/25,L2_NORTH_in,140.0
176,2022/05/26,L2_NORTH_in,137.0
177,2022/05/27,L2_NORTH_in,91.0
178,2022/05/28,L2_NORTH_in,59.0
179,2022/05/29,L2_NORTH_in,9.0
180,2022/05/30,L2_NORTH_in,763.0
181,2022/05/31,L2_NORTH_in,493.0
182,2022/05/18,L2_NORTH_out,21.0
