,time,type,y
0,2022/03/01,L2_CENTRAL_AND_WESTERN_in,937.0
1,2022/03/02,L2_CENTRAL_AND_WESTERN_in,1058.0
2,2022/03/03,L2_CENTRAL_AND_WESTERN_in,923.0
3,2022/03/04,L2_CENTRAL_AND_WESTERN_in,397.0
4,2022/03/05,L2_CENTRAL_AND_WESTERN_in,337.0
5,2022/03/06,L2_CENTRAL_AND_WESTERN_in,715.0
6,2022/03/07,L2_CENTRAL_AND_WESTERN_in,966.0
7,2022/03/08,L2_CENTRAL_AND_WESTERN_in,1091.0
8,2022/03/09,L2_CENTRAL_AND_WESTERN_in,1061.0
9,2022/03/10,L2_CENTRAL_AND_WESTERN_in,1020.0
10,2022/03/11,L2_CENTRAL_AND_WESTERN_in,455.0
11,2022/03/12,L2_CENTRAL_AND_WESTERN_in,418.0
12,2022/03/13,L2_CENTRAL_AND_WESTERN_in,1109.0
13,2022/03/14,L2_CENTRAL_AND_WESTERN_in,1498.0
14,2022/03/15,L2_CENTRAL_AND_WESTERN_in,1566.0
15,2022/03/16,L2_CENTRAL_AND_WESTERN_in,1488.0
16,2022/03/17,L2_CENTRAL_AND_WESTERN_in,1349.0
17,2022/03/18,L2_CENTRAL_AND_WESTERN_in,511.0
18,2022/03/19,L2_CENTRAL_AND_WESTERN_in,583.0
19,2022/03/20,L2_CENTRAL_AND_WESTERN_in,992.0
20,2022/03/21,L2_CENTRAL_AND_WESTERN_in,1325.0
21,2022/03/22,L2_CENTRAL_AND_WESTERN_in,1438.0
22,2022/03/23,L2_CENTRAL_AND_WESTERN_in,1414.0
23,2022/03/24,L2_CENTRAL_AND_WESTERN_in,1305.0
24,2022/03/25,L2_CENTRAL_AND_WESTERN_in,398.0
25,2022/03/26,L2_CENTRAL_AND_WESTERN_in,504.0
26,2022/03/27,L2_CENTRAL_AND_WESTERN_in,1037.0
27,2022/03/28,L2_CENTRAL_AND_WESTERN_in,1278.0
28,2022/03/29,L2_CENTRAL_AND_WESTERN_in,1318.0
29,2022/03/30,L2_CENTRAL_AND_WESTERN_in,1518.0
30,2022/03/31,L2_CENTRAL_AND_WESTERN_in,1375.0
31,2022/04/01,L2_CENTRAL_AND_WESTERN_in,481.0
32,2022/04/02,L2_CENTRAL_AND_WESTERN_in,524.0
33,2022/04/03,L2_CENTRAL_AND_WESTERN_in,913.0
34,2022/04/04,L2_CENTRAL_AND_WESTERN_in,525.0
35,2022/04/05,L2_CENTRAL_AND_WESTERN_in,895.0
36,2022/04/06,L2_CENTRAL_AND_WESTERN_in,1359.0
37,2022/04/07,L2_CENTRAL_AND_WESTERN_in,1194.0
38,2022/04/08,L2_CENTRAL_AND_WESTERN_in,467.0
39,2022/04/09,L2_CENTRAL_AND_WESTERN_in,491.0
40,2022/04/10,L2_CENTRAL_AND_WESTERN_in,878.0
41,2022/04/11,L2_CENTRAL_AND_WESTERN_in,1209.0
42,2022/04/12,L2_CENTRAL_AND_WESTERN_in,1265.0
