,time,type,y
0,2022/05/18,L3_ADDA_HEIGHTS_in,0.0
1,2022/05/19,L3_ADDA_HEIGHTS_in,1.0
2,2022/05/20,L3_ADDA_HEIGHTS_in,0.0
3,2022/05/21,L3_ADDA_HEIGHTS_in,0.0
4,2022/05/22,L3_ADDA_HEIGHTS_in,0.0
5,2022/05/23,L3_ADDA_HEIGHTS_in,0.0
6,2022/05/24,L3_ADDA_HEIGHTS_in,0.0
7,2022/05/25,L3_ADDA_HEIGHTS_in,0.0
8,2022/05/26,L3_ADDA_HEIGHTS_in,1.0
9,2022/05/27,L3_ADDA_HEIGHTS_in,0.0
10,2022/05/28,L3_ADDA_HEIGHTS_in,0.0
11,2022/05/29,L3_ADDA_HEIGHTS_in,0.0
12,2022/05/30,L3_ADDA_HEIGHTS_in,1.0
13,2022/05/31,L3_ADDA_HEIGHTS_in,1.0
14,2022/05/18,L3_AIR_HITAM_in,14.0
15,2022/05/19,L3_AIR_HITAM_in,5.0
16,2022/05/20,L3_AIR_HITAM_in,7.0
17,2022/05/21,L3_AIR_HITAM_in,2.0
18,2022/05/22,L3_AIR_HITAM_in,0.0
19,2022/05/23,L3_AIR_HITAM_in,5.0
20,2022/05/24,L3_AIR_HITAM_in,13.0
21,2022/05/25,L3_AIR_HITAM_in,7.0
22,2022/05/26,L3_AIR_HITAM_in,5.0
23,2022/05/27,L3_AIR_HITAM_in,0.0
24,2022/05/28,L3_AIR_HITAM_in,21.0
25,2022/05/29,L3_AIR_HITAM_in,0.0
26,2022/05/30,L3_AIR_HITAM_in,16.0
27,2022/05/31,L3_AIR_HITAM_in,10.0
28,2022/05/18,L3_AIR_HITAM_out,0.0
29,2022/05/19,L3_AIR_HITAM_out,1.0
30,2022/05/20,L3_AIR_HITAM_out,3.0
31,2022/05/21,L3_AIR_HITAM_out,2.0
32,2022/05/22,L3_AIR_HITAM_out,0.0
33,2022/05/23,L3_AIR_HITAM_out,4.0
34,2022/05/24,L3_AIR_HITAM_out,0.0
35,2022/05/25,L3_AIR_HITAM_out,5.0
36,2022/05/26,L3_AIR_HITAM_out,1.0
37,2022/05/27,L3_AIR_HITAM_out,1.0
38,2022/05/28,L3_AIR_HITAM_out,0.0
39,2022/05/29,L3_AIR_HITAM_out,0.0
40,2022/05/30,L3_AIR_HITAM_out,4.0
41,2022/05/31,L3_AIR_HITAM_out,0.0
42,2022/05/18,L3_ALAMANDA_PUTRAJAYA_in,0.0
43,2022/05/19,L3_ALAMANDA_PUTRAJAYA_in,1.0
44,2022/05/20,L3_ALAMANDA_PUTRAJAYA_in,0.0
45,2022/05/21,L3_ALAMANDA_PUTRAJAYA_in,0.0
46,2022/05/22,L3_ALAMANDA_PUTRAJAYA_in,0.0
47,2022/05/23,L3_ALAMANDA_PUTRAJAYA_in,1.0
48,2022/05/24,L3_ALAMANDA_PUTRAJAYA_in,0.0
49,2022/05/25,L3_ALAMANDA_PUTRAJAYA_in,1.0
50,2022/05/26,L3_ALAMANDA_PUTRAJAYA_in,1.0
51,2022/05/27,L3_ALAMANDA_PUTRAJAYA_in,0.0
52,2022/05/28,L3_ALAMANDA_PUTRAJAYA_in,0.0
53,2022/05/29,L3_ALAMANDA_PUTRAJAYA_in,0.0
54,2022/05/30,L3_ALAMANDA_PUTRAJAYA_in,1.0
55,2022/05/31,L3_ALAMANDA_PUTRAJAYA_in,0.0
56,2022/05/18,L3_ALAM_BUDIMAN_in,6.0
57,2022/05/19,L3_ALAM_BUDIMAN_in,7.0
58,2022/05/20,L3_ALAM_BUDIMAN_in,1.0
59,2022/05/21,L3_ALAM_BUDIMAN_in,2.0
60,2022/05/22,L3_ALAM_BUDIMAN_in,0.0
61,2022/05/23,L3_ALAM_BUDIMAN_in,2.0
62,2022/05/24,L3_ALAM_BUDIMAN_in,3.0
63,2022/05/25,L3_ALAM_BUDIMAN_in,1.0
64,2022/05/26,L3_ALAM_BUDIMAN_in,5.0
65,2022/05/27,L3_ALAM_BUDIMAN_in,2.0
66,2022/05/28,L3_ALAM_BUDIMAN_in,0.0
67,2022/05/29,L3_ALAM_BUDIMAN_in,0.0
68,2022/05/30,L3_ALAM_BUDIMAN_in,1.0
69,2022/05/31,L3_ALAM_BUDIMAN_in,1.0
70,2022/05/18,L3_ALAM_DAMAI_in,8.0
71,2022/05/19,L3_ALAM_DAMAI_in,4.0
72,2022/05/20,L3_ALAM_DAMAI_in,7.0
73,2022/05/21,L3_ALAM_DAMAI_in,9.0
74,2022/05/22,L3_ALAM_DAMAI_in,1.0
75,2022/05/23,L3_ALAM_DAMAI_in,8.0
76,2022/05/24,L3_ALAM_DAMAI_in,11.0
77,2022/05/25,L3_ALAM_DAMAI_in,16.0
78,2022/05/26,L3_ALAM_DAMAI_in,6.0
79,2022/05/27,L3_ALAM_DAMAI_in,12.0
80,2022/05/28,L3_ALAM_DAMAI_in,3.0
81,2022/05/29,L3_ALAM_DAMAI_in,0.0
82,2022/05/30,L3_ALAM_DAMAI_in,4.0
83,2022/05/31,L3_ALAM_DAMAI_in,5.0
84,2022/05/18,L3_ALAM_DAMAI_out,13.0
85,2022/05/19,L3_ALAM_DAMAI_out,13.0
86,2022/05/20,L3_ALAM_DAMAI_out,14.0
87,2022/05/21,L3_ALAM_DAMAI_out,7.0
88,2022/05/22,L3_ALAM_DAMAI_out,10.0
89,2022/05/23,L3_ALAM_DAMAI_out,20.0
90,2022/05/24,L3_ALAM_DAMAI_out,10.0
91,2022/05/25,L3_ALAM_DAMAI_out,15.0
92,2022/05/26,L3_ALAM_DAMAI_out,12.0
93,2022/05/27,L3_ALAM_DAMAI_out,12.0
94,2022/05/28,L3_ALAM_DAMAI_out,5.0
95,2022/05/29,L3_ALAM_DAMAI_out,39.0
96,2022/05/30,L3_ALAM_DAMAI_out,5.0
97,2022/05/31,L3_ALAM_DAMAI_out,0.0
98,2022/05/18,L3_ALAM_IMPIAN_in,162.0
99,2022/05/19,L3_ALAM_IMPIAN_in,163.0
100,2022/05/20,L3_ALAM_IMPIAN_in,210.0
101,2022/05/21,L3_ALAM_IMPIAN_in,83.0
102,2022/05/22,L3_ALAM_IMPIAN_in,4.0
103,2022/05/23,L3_ALAM_IMPIAN_in,111.0
104,2022/05/24,L3_ALAM_IMPIAN_in,107.0
105,2022/05/25,L3_ALAM_IMPIAN_in,147.0
106,2022/05/26,L3_ALAM_IMPIAN_in,176.0
107,2022/05/27,L3_ALAM_IMPIAN_in,50.0
108,2022/05/28,L3_ALAM_IMPIAN_in,154.0
109,2022/05/29,L3_ALAM_IMPIAN_in,71.0
110,2022/05/30,L3_ALAM_IMPIAN_in,69.0
111,2022/05/31,L3_ALAM_IMPIAN_in,112.0
112,2022/05/18,L3_ALAM_IMPIAN_out,257.0
113,2022/05/19,L3_ALAM_IMPIAN_out,14.0
114,2022/05/20,L3_ALAM_IMPIAN_out,789.0
115,2022/05/21,L3_ALAM_IMPIAN_out,318.0
116,2022/05/22,L3_ALAM_IMPIAN_out,100.0
117,2022/05/23,L3_ALAM_IMPIAN_out,287.0
118,2022/05/24,L3_ALAM_IMPIAN_out,455.0
119,2022/05/25,L3_ALAM_IMPIAN_out,115.0
120,2022/05/26,L3_ALAM_IMPIAN_out,572.0
121,2022/05/27,L3_ALAM_IMPIAN_out,78.0
122,2022/05/28,L3_ALAM_IMPIAN_out,229.0
123,2022/05/29,L3_ALAM_IMPIAN_out,123.0
124,2022/05/30,L3_ALAM_IMPIAN_out,192.0
125,2022/05/31,L3_ALAM_IMPIAN_out,158.0
126,2022/05/18,L3_ALAM_NUSANTARA_in,9.0
127,2022/05/19,L3_ALAM_NUSANTARA_in,10.0
128,2022/05/20,L3_ALAM_NUSANTARA_in,5.0
129,2022/05/21,L3_ALAM_NUSANTARA_in,8.0
130,2022/05/22,L3_ALAM_NUSANTARA_in,0.0
