,time,type,y
0,2022/05/18,L2_ANG_MO_KIO_in,103.0
1,2022/05/19,L2_ANG_MO_KIO_in,136.0
2,2022/05/20,L2_ANG_MO_KIO_in,85.0
3,2022/05/21,L2_ANG_MO_KIO_in,52.0
4,2022/05/22,L2_ANG_MO_KIO_in,14.0
5,2022/05/23,L2_ANG_MO_KIO_in,48.0
6,2022/05/24,L2_ANG_MO_KIO_in,80.0
7,2022/05/25,L2_ANG_MO_KIO_in,87.0
8,2022/05/26,L2_ANG_MO_KIO_in,80.0
9,2022/05/27,L2_ANG_MO_KIO_in,68.0
10,2022/05/28,L2_ANG_MO_KIO_in,41.0
11,2022/05/29,L2_ANG_MO_KIO_in,17.0
12,2022/05/30,L2_ANG_MO_KIO_in,46.0
13,2022/05/31,L2_ANG_MO_KIO_in,110.0
14,2022/05/18,L2_ANG_MO_KIO_out,174.0
15,2022/05/19,L2_ANG_MO_KIO_out,135.0
16,2022/05/20,L2_ANG_MO_KIO_out,162.0
17,2022/05/21,L2_ANG_MO_KIO_out,67.0
18,2022/05/22,L2_ANG_MO_KIO_out,13.0
19,2022/05/23,L2_ANG_MO_KIO_out,109.0
20,2022/05/24,L2_ANG_MO_KIO_out,154.0
21,2022/05/25,L2_ANG_MO_KIO_out,162.0
22,2022/05/26,L2_ANG_MO_KIO_out,141.0
23,2022/05/27,L2_ANG_MO_KIO_out,81.0
24,2022/05/28,L2_ANG_MO_KIO_out,18.0
25,2022/05/29,L2_ANG_MO_KIO_out,13.0
26,2022/05/30,L2_ANG_MO_KIO_out,76.0
27,2022/05/31,L2_ANG_MO_KIO_out,30.0
28,2022/05/18,L2_BEDOK_in,217.0
29,2022/05/19,L2_BEDOK_in,239.0
30,2022/05/20,L2_BEDOK_in,178.0
31,2022/05/21,L2_BEDOK_in,115.0
32,2022/05/22,L2_BEDOK_in,68.0
33,2022/05/23,L2_BEDOK_in,113.0
34,2022/05/24,L2_BEDOK_in,536.0
35,2022/05/25,L2_BEDOK_in,270.0
36,2022/05/26,L2_BEDOK_in,134.0
37,2022/05/27,L2_BEDOK_in,222.0
38,2022/05/28,L2_BEDOK_in,128.0
39,2022/05/29,L2_BEDOK_in,74.0
40,2022/05/30,L2_BEDOK_in,134.0
41,2022/05/31,L2_BEDOK_in,213.0
42,2022/05/18,L2_BEDOK_out,269.0
43,2022/05/19,L2_BEDOK_out,157.0
44,2022/05/20,L2_BEDOK_out,253.0
45,2022/05/21,L2_BEDOK_out,68.0
46,2022/05/22,L2_BEDOK_out,7.0
47,2022/05/23,L2_BEDOK_out,190.0
48,2022/05/24,L2_BEDOK_out,256.0
49,2022/05/25,L2_BEDOK_out,145.0
50,2022/05/26,L2_BEDOK_out,114.0
51,2022/05/27,L2_BEDOK_out,97.0
52,2022/05/28,L2_BEDOK_out,21.0
53,2022/05/29,L2_BEDOK_out,18.0
54,2022/05/30,L2_BEDOK_out,124.0
55,2022/05/31,L2_BEDOK_out,60.0
56,2022/05/18,L2_BISHAN_in,87.0
57,2022/05/19,L2_BISHAN_in,26.0
58,2022/05/20,L2_BISHAN_in,79.0
59,2022/05/21,L2_BISHAN_in,22.0
60,2022/05/22,L2_BISHAN_in,21.0
61,2022/05/23,L2_BISHAN_in,101.0
62,2022/05/24,L2_BISHAN_in,24.0
63,2022/05/25,L2_BISHAN_in,116.0
64,2022/05/26,L2_BISHAN_in,48.0
65,2022/05/27,L2_BISHAN_in,56.0
66,2022/05/28,L2_BISHAN_in,25.0
67,2022/05/29,L2_BISHAN_in,20.0
68,2022/05/30,L2_BISHAN_in,38.0
69,2022/05/31,L2_BISHAN_in,53.0
70,2022/05/18,L2_BISHAN_out,19.0
71,2022/05/19,L2_BISHAN_out,11.0
72,2022/05/20,L2_BISHAN_out,13.0
73,2022/05/21,L2_BISHAN_out,20.0
74,2022/05/22,L2_BISHAN_out,13.0
75,2022/05/23,L2_BISHAN_out,17.0
76,2022/05/24,L2_BISHAN_out,20.0
77,2022/05/25,L2_BISHAN_out,11.0
78,2022/05/26,L2_BISHAN_out,18.0
79,2022/05/27,L2_BISHAN_out,10.0
80,2022/05/28,L2_BISHAN_out,8.0
81,2022/05/29,L2_BISHAN_out,8.0
82,2022/05/30,L2_BISHAN_out,27.0
83,2022/05/31,L2_BISHAN_out,14.0
84,2022/05/18,L2_BOON_LAY_in,3.0
85,2022/05/19,L2_BOON_LAY_in,3.0
86,2022/05/20,L2_BOON_LAY_in,3.0
87,2022/05/21,L2_BOON_LAY_in,0.0
88,2022/05/22,L2_BOON_LAY_in,0.0
89,2022/05/23,L2_BOON_LAY_in,1.0
90,2022/05/24,L2_BOON_LAY_in,2.0
91,2022/05/25,L2_BOON_LAY_in,4.0
92,2022/05/26,L2_BOON_LAY_in,2.0
93,2022/05/27,L2_BOON_LAY_in,1.0
94,2022/05/28,L2_BOON_LAY_in,0.0
95,2022/05/29,L2_BOON_LAY_in,0.0
96,2022/05/30,L2_BOON_LAY_in,0.0
97,2022/05/31,L2_BOON_LAY_in,1.0
98,2022/05/18,L2_BOON_LAY_out,0.0
99,2022/05/19,L2_BOON_LAY_out,0.0
100,2022/05/20,L2_BOON_LAY_out,1.0
101,2022/05/21,L2_BOON_LAY_out,0.0
102,2022/05/22,L2_BOON_LAY_out,0.0
103,2022/05/23,L2_BOON_LAY_out,0.0
104,2022/05/24,L2_BOON_LAY_out,1.0
105,2022/05/25,L2_BOON_LAY_out,1.0
106,2022/05/26,L2_BOON_LAY_out,0.0
107,2022/05/27,L2_BOON_LAY_out,0.0
108,2022/05/28,L2_BOON_LAY_out,0.0
109,2022/05/29,L2_BOON_LAY_out,0.0
110,2022/05/30,L2_BOON_LAY_out,0.0
111,2022/05/31,L2_BOON_LAY_out,0.0
112,2022/05/18,L2_BUKIT_BATOK_in,140.0
113,2022/05/19,L2_BUKIT_BATOK_in,98.0
114,2022/05/20,L2_BUKIT_BATOK_in,96.0
115,2022/05/21,L2_BUKIT_BATOK_in,44.0
116,2022/05/22,L2_BUKIT_BATOK_in,26.0
117,2022/05/23,L2_BUKIT_BATOK_in,41.0
118,2022/05/24,L2_BUKIT_BATOK_in,97.0
119,2022/05/25,L2_BUKIT_BATOK_in,84.0
120,2022/05/26,L2_BUKIT_BATOK_in,64.0
121,2022/05/27,L2_BUKIT_BATOK_in,81.0
122,2022/05/28,L2_BUKIT_BATOK_in,43.0
123,2022/05/29,L2_BUKIT_BATOK_in,6.0
124,2022/05/30,L2_BUKIT_BATOK_in,24.0
125,2022/05/31,L2_BUKIT_BATOK_in,116.0
126,2022/05/18,L2_BUKIT_BATOK_out,412.0
127,2022/05/19,L2_BUKIT_BATOK_out,112.0
128,2022/05/20,L2_BUKIT_BATOK_out,64.0
129,2022/05/21,L2_BUKIT_BATOK_out,30.0
130,2022/05/22,L2_BUKIT_BATOK_out,2.0
131,2022/05/23,L2_BUKIT_BATOK_out,177.0
132,2022/05/24,L2_BUKIT_BATOK_out,553.0
133,2022/05/25,L2_BUKIT_BATOK_out,170.0
134,2022/05/26,L2_BUKIT_BATOK_out,76.0
135,2022/05/27,L2_BUKIT_BATOK_out,92.0
136,2022/05/28,L2_BUKIT_BATOK_out,18.0
137,2022/05/29,L2_BUKIT_BATOK_out,21.0
138,2022/05/30,L2_BUKIT_BATOK_out,92.0
139,2022/05/31,L2_BUKIT_BATOK_out,30.0
140,2022/05/18,L2_BUKIT_MERAH_in,120.0
141,2022/05/19,L2_BUKIT_MERAH_in,79.0
142,2022/05/20,L2_BUKIT_MERAH_in,104.0
143,2022/05/21,L2_BUKIT_MERAH_in,71.0
144,2022/05/22,L2_BUKIT_MERAH_in,54.0
145,2022/05/23,L2_BUKIT_MERAH_in,84.0
146,2022/05/24,L2_BUKIT_MERAH_in,92.0
147,2022/05/25,L2_BUKIT_MERAH_in,113.0
148,2022/05/26,L2_BUKIT_MERAH_in,94.0
149,2022/05/27,L2_BUKIT_MERAH_in,104.0
150,2022/05/28,L2_BUKIT_MERAH_in,32.0
151,2022/05/29,L2_BUKIT_MERAH_in,28.0
152,2022/05/30,L2_BUKIT_MERAH_in,88.0
153,2022/05/31,L2_BUKIT_MERAH_in,112.0
154,2022/05/18,L2_BUKIT_MERAH_out,80.0
155,2022/05/19,L2_BUKIT_MERAH_out,111.0
156,2022/05/20,L2_BUKIT_MERAH_out,149.0
157,2022/05/21,L2_BUKIT_MERAH_out,79.0
158,2022/05/22,L2_BUKIT_MERAH_out,39.0
159,2022/05/23,L2_BUKIT_MERAH_out,69.0
160,2022/05/24,L2_BUKIT_MERAH_out,78.0
161,2022/05/25,L2_BUKIT_MERAH_out,78.0
162,2022/05/26,L2_BUKIT_MERAH_out,81.0
163,2022/05/27,L2_BUKIT_MERAH_out,311.0
164,2022/05/28,L2_BUKIT_MERAH_out,107.0
165,2022/05/29,L2_BUKIT_MERAH_out,46.0
166,2022/05/30,L2_BUKIT_MERAH_out,479.0
167,2022/05/31,L2_BUKIT_MERAH_out,337.0
168,2022/05/18,L2_BUKIT_PANJANG_in,58.0
169,2022/05/19,L2_BUKIT_PANJANG_in,96.0
170,2022/05/20,L2_BUKIT_PANJANG_in,81.0
171,2022/05/21,L2_BUKIT_PANJANG_in,35.0
172,2022/05/22,L2_BUKIT_PANJANG_in,7.0
173,2022/05/23,L2_BUKIT_PANJANG_in,33.0
174,2022/05/24,L2_BUKIT_PANJANG_in,74.0
175,2022/05/25,L2_BUKIT_PANJANG_in,61.0
176,2022/05/26,L2_BUKIT_PANJANG_in,75.0
177,2022/05/27,L2_BUKIT_PANJANG_in,55.0
178,2022/05/28,L2_BUKIT_PANJANG_in,28.0
179,2022/05/29,L2_BUKIT_PANJANG_in,18.0
180,2022/05/30,L2_BUKIT_PANJANG_in,39.0
181,2022/05/31,L2_BUKIT_PANJANG_in,56.0
182,2022/05/18,L2_BUKIT_PANJANG_out,6.0
183,2022/05/19,L2_BUKIT_PANJANG_out,3.0
184,2022/05/20,L2_BUKIT_PANJANG_out,2.0
