,time,type,y
0,2022/03/01,L3_ADMIRALTY_in,1.0
1,2022/03/02,L3_ADMIRALTY_in,3.0
2,2022/03/03,L3_ADMIRALTY_in,3.0
3,2022/03/04,L3_ADMIRALTY_in,1.0
4,2022/03/05,L3_ADMIRALTY_in,6.0
5,2022/03/06,L3_ADMIRALTY_in,2.0
6,2022/03/07,L3_ADMIRALTY_in,4.0
7,2022/03/08,L3_ADMIRALTY_in,10.0
8,2022/03/09,L3_ADMIRALTY_in,8.0
9,2022/03/10,L3_ADMIRALTY_in,3.0
10,2022/03/11,L3_ADMIRALTY_in,7.0
11,2022/03/12,L3_ADMIRALTY_in,2.0
12,2022/03/13,L3_ADMIRALTY_in,4.0
13,2022/03/14,L3_ADMIRALTY_in,2.0
14,2022/03/15,L3_ADMIRALTY_in,6.0
15,2022/03/16,L3_ADMIRALTY_in,7.0
16,2022/03/17,L3_ADMIRALTY_in,7.0
17,2022/03/18,L3_ADMIRALTY_in,4.0
18,2022/03/19,L3_ADMIRALTY_in,4.0
19,2022/03/20,L3_ADMIRALTY_in,2.0
20,2022/03/21,L3_ADMIRALTY_in,2.0
21,2022/03/22,L3_ADMIRALTY_in,4.0
22,2022/03/23,L3_ADMIRALTY_in,10.0
23,2022/03/24,L3_ADMIRALTY_in,6.0
24,2022/03/25,L3_ADMIRALTY_in,5.0
25,2022/03/26,L3_ADMIRALTY_in,4.0
26,2022/03/27,L3_ADMIRALTY_in,5.0
27,2022/03/28,L3_ADMIRALTY_in,4.0
28,2022/03/29,L3_ADMIRALTY_in,5.0
29,2022/03/30,L3_ADMIRALTY_in,4.0
30,2022/03/31,L3_ADMIRALTY_in,2.0
31,2022/04/01,L3_ADMIRALTY_in,5.0
32,2022/04/02,L3_ADMIRALTY_in,11.0
33,2022/04/03,L3_ADMIRALTY_in,6.0
34,2022/04/04,L3_ADMIRALTY_in,2.0
35,2022/04/05,L3_ADMIRALTY_in,7.0
36,2022/04/06,L3_ADMIRALTY_in,5.0
37,2022/04/07,L3_ADMIRALTY_in,5.0
38,2022/04/08,L3_ADMIRALTY_in,12.0
39,2022/04/09,L3_ADMIRALTY_in,11.0
