time,type,y,newcol
01/03/22,L2_CENTRAL_AND_WESTERN_in,937,1
02/03/22,L2_CENTRAL_AND_WESTERN_in,1058,1
03/03/22,L2_CENTRAL_AND_WESTERN_in,923,1
04/03/22,L2_CENTRAL_AND_WESTERN_in,397,1
05/03/22,L2_CENTRAL_AND_WESTERN_in,337,1
06/03/22,L2_CENTRAL_AND_WESTERN_in,715,1
07/03/22,L2_CENTRAL_AND_WESTERN_in,966,1
08/03/22,L2_CENTRAL_AND_WESTERN_in,1091,1
09/03/22,L2_CENTRAL_AND_WESTERN_in,1061,1
10/03/22,L2_CENTRAL_AND_WESTERN_in,1020,1
11/03/22,L2_CENTRAL_AND_WESTERN_in,455,1
12/03/22,L2_CENTRAL_AND_WESTERN_in,418,1
13/03/22,L2_CENTRAL_AND_WESTERN_in,1109,1
14/03/22,L2_CENTRAL_AND_WESTERN_in,1498,1
15/03/22,L2_CENTRAL_AND_WESTERN_in,1566,1
16/03/22,L2_CENTRAL_AND_WESTERN_in,1488,1
17/03/22,L2_CENTRAL_AND_WESTERN_in,1349,1
18/03/22,L2_CENTRAL_AND_WESTERN_in,511,1
19/03/22,L2_CENTRAL_AND_WESTERN_in,583,1
20/03/22,L2_CENTRAL_AND_WESTERN_in,992,1
21/03/22,L2_CENTRAL_AND_WESTERN_in,1325,1
22/03/22,L2_CENTRAL_AND_WESTERN_in,1438,1
23/03/22,L2_CENTRAL_AND_WESTERN_in,1414,1
24/03/22,L2_CENTRAL_AND_WESTERN_in,1305,1
25/03/22,L2_CENTRAL_AND_WESTERN_in,398,1
26/03/22,L2_CENTRAL_AND_WESTERN_in,504,1
27/03/22,L2_CENTRAL_AND_WESTERN_in,1037,1
28/03/22,L2_CENTRAL_AND_WESTERN_in,1278,1
29/03/22,L2_CENTRAL_AND_WESTERN_in,1318,1
30/03/22,L2_CENTRAL_AND_WESTERN_in,1518,1
31/03/22,L2_CENTRAL_AND_WESTERN_in,1375,1
01/04/22,L2_CENTRAL_AND_WESTERN_in,481,1
02/04/22,L2_CENTRAL_AND_WESTERN_in,524,1
03/04/22,L2_CENTRAL_AND_WESTERN_in,913,1
04/04/22,L2_CENTRAL_AND_WESTERN_in,525,1
05/04/22,L2_CENTRAL_AND_WESTERN_in,895,1
06/04/22,L2_CENTRAL_AND_WESTERN_in,1359,1
07/04/22,L2_CENTRAL_AND_WESTERN_in,1194,1
08/04/22,L2_CENTRAL_AND_WESTERN_in,467,1
09/04/22,L2_CENTRAL_AND_WESTERN_in,491,1
